Company,Date,Market Cap
WTW,2010-01-31,3360000000.0
WTW,2010-04-30,3700000000.0
WTW,2010-07-31,3360000000.0
WTW,2010-10-31,3790000000.0
WTW,2011-01-31,3970000000.0
WTW,2011-04-30,4190000000.0000005
WTW,2011-07-31,4500000000.0
WTW,2011-10-31,4830000000.0
WTW,2012-01-31,4400000000.0
WTW,2012-04-30,3630000000.0
WTW,2012-07-31,3260000000.0
WTW,2012-10-31,2990000000.0
WTW,2013-01-31,3410000000.0
WTW,2013-04-30,4080000000.0
WTW,2013-07-31,4740000000.0
WTW,2013-10-31,6480000000.0
WTW,2014-01-31,6600000000.0
WTW,2014-04-30,6360000000.0
WTW,2014-07-31,5780000000.0
WTW,2014-10-29,6100000000.0
WTW,2015-01-31,6720000000.0
WTW,2015-05-05,7480000000.0
WTW,2015-07-30,7240000000.0
WTW,2015-11-03,8000000000.0
WTW,2016-02-01,7290000000.0
WTW,2016-04-29,7970000000.0
WTW,2016-07-29,7890000000.0
WTW,2016-10-28,8029999999.999999
WTW,2017-02-01,7950000000.0
WTW,2017-05-01,8550000000.000001
WTW,2017-07-26,9560000000.0
WTW,2017-10-31,10390000000.0
WTW,2018-02-01,10610000000.0
WTW,2018-04-30,9840000000.0
WTW,2018-07-31,10620000000.0
WTW,2018-10-15,9190000000.0
WTW,2018-10-26,9290000000.0
WTW,2019-02-01,11120000000.0
WTW,2021-10-26,30410000000.0
WTW,2022-02-18,26560000000.0
WTW,2022-04-25,26880000000.0
WTW,2022-07-25,22170000000.0
WTW,2022-10-25,22890000000.0
WTW,2023-02-16,25830000000.0
WTW,2023-04-24,25570000000.0
WTW,2023-07-24,24350000000.0
WTW,2023-10-23,21020000000.0
WTW,2024-02-16,28420000000.0
WTW,2024-04-22,27110000000.0
WTW,2024-07-22,26960000000.0
WTW,2024-10-28,29420000000.0
